feed,posts,unique_authors,top10_author_share,author_hhi,author_gini,median_age_hours,p90_age_hours,median_likes,p90_likes,share_english,n_languages,media_share,median_text_chars
Discover,150,123,0.22,0.010577777777777776,0.16411924119241192,6.093449714779861,18.511321541944444,131.0,3900.3999999999974,0.44,15,0.6733333333333333,83.5
What's Hot Classic,150,132,0.15333333333333332,0.008533333333333337,0.1081818181818183,0.22182879694444446,0.2892094358333333,18.0,51.29999999999998,0.68,10,0.49333333333333335,96.5
Science,149,97,0.31543624161073824,0.02626007837484799,0.3012523351553311,12.584106940277778,18.258127606944445,7.0,34.2000000000001,0.7181208053691275,3,0.3422818791946309,251.0
News,150,67,0.36666666666666664,0.02302222222222223,0.3574129353233831,0.4421318694444444,0.765180925,1.0,11.0,0.09333333333333334,4,0.11333333333333333,119.0
Baseline (list feed),150,9,1.0,0.2397333333333333,0.5570370370370371,158.51580049222224,251.47410860333332,1.0,23.0,0.94,1,0.06,103.5
