liker_index,indexed_at,hours_since_post,collected_at
58,2026-03-19 19:23:57.882000+00:00,0.0867175,2026-06-10T11:00:20+00:00
59,2026-03-19 19:24:00.745000+00:00,0.08751277777777777,2026-06-10T11:00:20+00:00
60,2026-03-19 19:24:01.456000+00:00,0.08771027777777778,2026-06-10T11:00:20+00:00
61,2026-03-19 19:24:14.599000+00:00,0.0913611111111111,2026-06-10T11:00:20+00:00
62,2026-03-19 19:24:18.683000+00:00,0.09249555555555555,2026-06-10T11:00:20+00:00
63,2026-03-19 19:24:25.752000+00:00,0.09445916666666666,2026-06-10T11:00:20+00:00
64,2026-03-19 19:24:50.238000+00:00,0.10126083333333333,2026-06-10T11:00:20+00:00
65,2026-03-19 19:24:56.669000+00:00,0.10304722222222223,2026-06-10T11:00:20+00:00
66,2026-03-19 19:24:58.306000+00:00,0.10350194444444445,2026-06-10T11:00:20+00:00
67,2026-03-19 19:25:01.722000+00:00,0.10445083333333334,2026-06-10T11:00:20+00:00
68,2026-03-19 19:25:03.014000+00:00,0.10480972222222222,2026-06-10T11:00:20+00:00
69,2026-03-19 19:25:05.857000+00:00,0.10559944444444445,2026-06-10T11:00:20+00:00
70,2026-03-19 19:25:09.508000+00:00,0.10661361111111112,2026-06-10T11:00:20+00:00
71,2026-03-19 19:25:30.076000+00:00,0.11232694444444445,2026-06-10T11:00:20+00:00
72,2026-03-19 19:25:30.085000+00:00,0.11232944444444445,2026-06-10T11:00:20+00:00
73,2026-03-19 19:25:32.254000+00:00,0.11293194444444445,2026-06-10T11:00:20+00:00
74,2026-03-19 19:25:39.950000+00:00,0.11506972222222221,2026-06-10T11:00:20+00:00
75,2026-03-19 19:25:41.231000+00:00,0.11542555555555555,2026-06-10T11:00:20+00:00
76,2026-03-19 19:25:43.258000+00:00,0.11598861111111111,2026-06-10T11:00:20+00:00
77,2026-03-19 19:25:46.881000+00:00,0.116995,2026-06-10T11:00:20+00:00
78,2026-03-19 19:25:48.960000+00:00,0.11757250000000001,2026-06-10T11:00:20+00:00
79,2026-03-19 19:25:49.605000+00:00,0.11775166666666667,2026-06-10T11:00:20+00:00
80,2026-03-19 19:25:50.956000+00:00,0.11812694444444445,2026-06-10T11:00:20+00:00
81,2026-03-19 19:25:59.304000+00:00,0.12044583333333334,2026-06-10T11:00:20+00:00
82,2026-03-19 19:26:18.509000+00:00,0.12578055555555556,2026-06-10T11:00:20+00:00
83,2026-03-19 19:26:19.062000+00:00,0.12593416666666668,2026-06-10T11:00:20+00:00
84,2026-03-19 19:26:30.659000+00:00,0.12915555555555555,2026-06-10T11:00:20+00:00
85,2026-03-19 19:26:35.609000+00:00,0.13053055555555557,2026-06-10T11:00:20+00:00
86,2026-03-19 19:26:38.392000+00:00,0.1313036111111111,2026-06-10T11:00:20+00:00
87,2026-03-19 19:26:42.058000+00:00,0.13232194444444445,2026-06-10T11:00:20+00:00
88,2026-03-19 19:26:43.278000+00:00,0.13266083333333334,2026-06-10T11:00:20+00:00
89,2026-03-19 19:26:43.957000+00:00,0.13284944444444444,2026-06-10T11:00:20+00:00
