did,handle,followers_count,follows_count,posts_count,community
did:plc:4ps2uq5zp6cph5f3ew4gnbcj,nickriccardi.bsky.social,3326,280,931,0
did:plc:kqbkypm5xnyepfp6pstolwia,fujirobledo.bsky.social,42,55,0,4
did:plc:nsleqcwfgkzynyqmkcahcvu2,annejonas.bsky.social,1704,4087,37,0
did:plc:45qsgqhrcburrp5npniuhjsv,joepax.bsky.social,296,440,1,1
did:plc:ks3gpa6ftoyaq7hmf6c4qx4c,dieworkwear.bsky.social,616700,224,3298,1
did:plc:5wk5wsvdpxr3b4sncfgf2app,jiajiah.bsky.social,649,534,213,0
did:plc:ukmgyfeujzpee4dmzslmho23,chloenlp.bsky.social,646,132,5,0
did:plc:waeh2azqfmi6xk2wwst3olso,sohandsouza.info,9930,1059,1536,0
did:plc:ic6zqvuw5ulmfpjiwnhsr2ns,soubhikbarari.bsky.social,547,478,57,0
did:plc:jtzxnbwxwbywld23yvnyokzf,shannonmattern.bsky.social,29574,10779,19123,2
did:plc:oqfvroo3jazra6t6qad6joi4,whiskeyocelot.bsky.social,3663,302,138,1
did:plc:jqagnoo2ijf75flohmoqbrq4,yang3kc.bsky.social,735,401,116,3
did:plc:x2fnm4bvnct3qlcoa7nawr36,jboothhistory.bsky.social,4626,977,504,0
did:plc:yjkhy7ldw56uypnzrssgxlrd,alexvespi.bsky.social,1827,775,52,3
did:plc:iwn7bf6wmpnn6vy5yttd6sjp,indigenousja.bsky.social,3666,146,129,0
did:plc:qigftpfjt2mrkq23skrcuedw,leahstokes.bsky.social,62946,1207,848,1
did:plc:yap7duimgame76ri3uip4vao,yaeleisenstat.bsky.social,16185,613,459,1
did:plc:7nr5pcdbterco5fvvulqn53e,cward1e.bsky.social,17547,2034,21,1
did:plc:6zcjb6gz4dg3mvjlxhzdlbaa,brewster.kahle.org,7980,90,107,0
did:plc:pht7gkcz3hktlw5fjytadp62,stevenfrost.bsky.social,467,118,73,4
did:plc:px7u7zsgeayb5xuqrabl6sej,danieljarratt.com,821,4076,74,0
did:plc:nsv6rm2tspxl36mzni6pymay,nirg.bsky.social,183,174,28,3
did:plc:tv7chfchb5in5whhjnzmecsf,checkfirst.network,1676,230,307,0
did:plc:2gborli47ty3x4fny7xknnkk,santof.bsky.social,597,1,17,3
did:plc:5k34ebwxtpl2rsqp4yauau7g,hannahdavis.bsky.social,160,5,0,5
did:plc:nvfposmpmhegtyvhbs75s3pw,jamellebouie.net,737854,881,22353,1
did:plc:hgxlot4tjdp6xivfqwqqe5x7,welcomingneighbors.us,5613,306,932,1
did:plc:7v7gmbew24c4tr433ugc5g4a,djgagnedos.bsky.social,2606,494,384,0
did:plc:m6zq4i53ewbzeozb7oi57vsd,whatknows.bsky.social,252,49,10,4
did:plc:jicxvqh63i7yut5ntewurarm,zacharykstine.bsky.social,466,667,317,2
did:plc:oznuchemvstvczkrzxpbtnat,davidnemer.com,18465,961,687,0
did:plc:7jyg4n5nnipzzy2zhn4jesrf,maxdubler.com,19950,1881,14476,1
did:plc:tv4cotvq2q2qxso4qlh7qf6j,emmalurie.bsky.social,377,1036,5,0
