did,handle,display_name,created_at
did:plc:fduweoxop22ql7qlvrdqitly,petersgoodman.bsky.social,Peter S. Goodman,2023-12-19T16:12:24.254Z
did:plc:qdcnhyd33qnnsfhhnitwiwij,kellen.bsky.social,Kellen Browning,2023-04-27T19:54:43.457Z
did:plc:axn7gm2kvm6gmtkmxn3kptcb,heatherknightsf.bsky.social,Heather Knight,2024-11-15T00:14:12.447Z
did:plc:l6ym7mdscfdq7ge2oi3b2k4p,tariqpanja.bsky.social,Tariq Panja,2023-11-18T07:38:42.799Z
did:plc:c76gbxtfzc3z5f7byx4ndwbb,katrinamillerphd.bsky.social,Katrina Miller,2025-01-31T14:38:38.745Z
did:plc:o7fv3abvmcqkiu5zdhugjhhi,jholman.bsky.social,Jordyn Holman,2023-05-15T13:00:06.150Z
did:plc:llg72eynrn7qxdanzhytpz76,lydiadepillis.bsky.social,Lydia DePillis,2024-11-24T12:28:06.947Z
did:plc:iuuhnj2653oje7wjidnxb6dw,danagoldstein.bsky.social,Dana Goldstein,2024-11-18T18:35:30.648Z
did:plc:oldvqjclo55j2rcxlhzaqnyh,teddyschleifer.bsky.social,Teddy Schleifer,2023-07-04T17:35:55.301Z
did:plc:e5o5og3qpyv4e2sfgribgics,shawnhubler.bsky.social,Shawn Hubler,2024-11-16T18:12:44.074Z
did:plc:ad4baew4rs5doyjstoi3puem,zjmontague.bsky.social,Zach Montague,2023-10-29T18:36:27.196Z
did:plc:ntkmgew2vnq7lkpze65ffmzx,kashhill.bsky.social,Kashmir Hill,2023-05-06T12:50:44.674Z
did:plc:gwo3gkexjhfpujb5pxefirgg,mccanner.bsky.social,erin mccann,2023-06-05T09:44:50.007Z
did:plc:nakz2fndgfjyoeyxexdvttbd,jsgatnyt.bsky.social,Jessica Silver-Greenberg,2024-11-15T13:25:38.228Z
did:plc:xs5kossjbra2o6rxa42cjpnv,davidenrich.bsky.social,David Enrich,2024-11-14T20:09:30.232Z
did:plc:oxq52gwdw2y766btwk7ljjhj,christinezhang.bsky.social,Christine Zhang,2023-07-06T14:15:56.578Z
did:plc:5sq2hnlasek7plaulvyhwbew,colbylsmith.bsky.social,Colby Smith,2023-10-25T21:50:46.583Z
did:plc:a23wa52b3acjeswnv357suj5,tonyromm.bsky.social,tony romm,2023-05-06T14:10:49.189Z
did:plc:ajjmla7inolj73z7zov2jlly,jenniecoughlin.bsky.social,Jennie Coughlin,2023-07-06T11:44:45.458Z
did:plc:efnmrvlsvyikcdozq4rxio5d,anniekarni.bsky.social,Annie Karni,2023-05-04T21:27:31.498Z
did:plc:x4q6xiarmvgflnsapn526gkh,paulmozur.bsky.social,Paul Mozur,2024-02-07T01:12:17.530Z
did:plc:kx2konxwteuov3tmac22a7bl,simonromero.bsky.social,Simon Romero,2024-11-13T00:33:44.811Z
did:plc:snybjce33eqh2we2gjubg4pz,danarubinsteinbsky.bsky.social,Dana Rubinstein ,2024-11-05T14:35:41.885Z
did:plc:y55kkr3xzg3bz2ve3hdlflkd,traceytully.bsky.social,Tracey Tully,2024-11-14T04:46:17.181Z
did:plc:duvtpxlsrr7jyl2dwh6go4a7,luisferre7.bsky.social,Luis Ferré-Sadurní,2024-12-24T13:24:16.742Z
did:plc:4axufcpbd4hlg36f2gzue2fb,mikerosenwald.bsky.social,Mike Rosenwald,2024-10-24T18:20:31.709Z
did:plc:kyyticnvwl3vke6zuhbjgajf,nytimeses.nytimes.com,The New York Times en Español,2025-03-28T13:32:29.496Z
did:plc:lo3zmvycuaqde6uqz33dqgsx,nytweather.bsky.social,New York Times Weather,2025-04-23T16:33:44.973Z
did:plc:x7gcgm6g3quibiqo7bqtidrg,jeffcmays.bsky.social,Jeffery C. Mays,2024-11-12T00:56:49.510Z
did:plc:ls26zjpubpydja6dgqitbifq,sangerkatz.bsky.social,Margot Sanger-Katz,2023-07-04T22:12:28.990Z
did:plc:nl2p6ivi62ts5gudgj2pql5v,ruthgraham.bsky.social,Ruth Graham,2023-07-03T15:02:33.145Z
did:plc:dgqfbt27nbkffgj5cdh6ednx,julianbarnes.bsky.social,Julian E. Barnes ,2023-06-24T12:33:24.577Z
did:plc:xqrqlxsfingcrocs7dut7rav,carlzimmer.com,Carl Zimmer,2023-05-22T14:56:42.563Z
did:plc:5dwp6eo7bwtifvlx4ftcgjmr,shanegoldmacher.bsky.social,Shane Goldmacher,2023-10-09T01:01:56.349Z
did:plc:w3mkq2zlzn4yau7w6t36k6r4,jacknicas.bsky.social,Jack Nicas,2024-08-31T19:30:06.403Z
did:plc:tktyhvgeo3nqluw4wpdjzqgo,bencasselman.bsky.social,Ben Casselman,2023-06-14T00:15:14.791Z
did:plc:zij7iuei77luodu6tvahv27g,ronlieber.bsky.social,Ron Lieber,2024-11-15T16:25:31.923Z
did:plc:3yzlqqr6fdptn4kccp4dawye,karenyourish.bsky.social,Karen Yourish,2023-06-14T00:01:46.349Z
did:plc:r3lb3j3sqfdgdyjyybhigoyb,johnismay.bsky.social,John Ismay,2024-11-12T21:39:48.513Z
did:plc:r6vamkf7iva2of644wrzfdjg,sheeraf.bsky.social,Sheera Frenkel,2023-04-28T18:47:31.212Z
did:plc:ooehugjick2vkzwlr64lephm,haleaziz.bsky.social,Hamed Aleaziz,2024-11-18T15:39:52.581Z
did:plc:wymilg6dl7apufaqxvj4nvnq,by-cjewett.bsky.social,Christina Jewett,2024-11-18T02:29:13.119Z
did:plc:b6242ykw6c2nlw67iahhtks4,emmbadger.bsky.social,Emily Badger,2025-01-16T15:30:01.542Z
did:plc:57rmw5zruna2fizxucniyqyb,stefanoschen.bsky.social,Stefanos Chen,2023-06-14T18:54:22.346Z
did:plc:57phqtytmvdi2csnrtbsbhow,tinajordan.bsky.social,Tina Jordan,2023-07-28T01:32:04.933Z
did:plc:5siz7r23475fek2mj6p5zhzw,kateconger.com,kate conger,2023-04-25T23:31:52.292Z
did:plc:kgjdkmato75p7zzjxz5qsp7n,apoorvanyt.bsky.social,Apoorva Mandavilli,2023-06-07T18:09:24.091Z
did:plc:efxbtouacf2s2pzcvuv47ns2,benmullin.bsky.social,Ben Mullin,2023-05-12T11:55:04.021Z
did:plc:x5yggmj5dbj4a7opkugi2vt5,declanwalsh.bsky.social,Declan Walsh,2024-11-10T07:03:58.978Z
did:plc:r4htmaum3mel37tvqtidnfo4,mikebaker.bsky.social,Mike Baker,2023-05-03T00:40:06.238Z
did:plc:yllqcfu4oy424rlfpnzj32ka,nytopinion.nytimes.com,New York Times Opinion,2024-12-02T17:34:05.946Z
did:plc:seo6yyjjmodps4imawf5xqpp,ewong.bsky.social,Edward Wong,2024-02-28T12:21:18.545Z
did:plc:agiex7zg5lulytsxulmalrgz,ericlipton.nytimes.com,Eric Lipton NYT,2024-11-18T01:31:58.812Z
did:plc:7d6mqqbcrtoreg7fcgtaiklu,andrewrsorkin.bsky.social,Andrew Ross Sorkin,2024-11-14T15:15:22.324Z
did:plc:gsyer2vl5wuw6daiknv2adhz,jazmineulloa.bsky.social,Jazmine Ulloa,2023-07-15T18:25:08.605Z
did:plc:l47ohqjvvfvzkybl34lrikl4,chloeshakin.bsky.social,Chloe W. Shakin,2024-11-27T14:30:53.144Z
did:plc:tm256llkpggffiiuwk4tgiej,peterbakernyt.bsky.social,Peter Baker,2024-11-19T17:52:42.678Z
did:plc:sjq6cmujypcmnpkpmibpjo5y,carolrosenbergfeed.bsky.social,Carol Rosenberg,2024-07-03T15:54:09.180Z
did:plc:b2kutgxqlltwc6lhs724cfwr,theathletic.com,The Athletic,2023-05-22T18:10:58.179Z
did:plc:5wlh27ytfx7tltz7cncy4y4m,michaela.bsky.social,Michaela Román,2023-06-01T15:35:24.898Z
did:plc:ayiedn5wwlwpwab62irpwjt4,wlamb76.bsky.social,William Lamb,2023-06-13T21:32:12.213Z
did:plc:743s7ikb5po2orglxfs43ins,kevinroose.com,Kevin Roose,2023-04-26T15:41:33.273Z
did:plc:i5ntiqolw4snbxnkobopodwg,palafo.bsky.social,Patrick LaForge,2023-06-12T13:05:26.252Z
did:plc:jjq37jze7ynm7uzalnrk5au5,charliesavage.bsky.social,Charlie Savage,2023-04-28T20:19:05.923Z
did:plc:emhyi4kljodgqlusdsopgfgd,rmac.bsky.social,Ryan Mac 🙃,2023-05-01T04:20:22.918Z
did:plc:da7zio2zbriy75thazngtxsp,jgrovum.bsky.social,jake grovum,2023-06-01T14:59:33.551Z
did:plc:l5uc45ob2yrdq2rmai6mhy7v,itsbritforbes.bsky.social,brittney forbes,2023-06-01T15:16:53.038Z
